"Date","DateRef","LTP"
"11/16/17",1,333.95
"11/17/17",2,336.7
"11/20/17",3,332.75
"11/21/17",4,330.3
"11/22/17",5,335.5
"11/23/17",6,335.95
"11/24/17",7,332.1
"11/27/17",8,336.8
"11/28/17",9,331.9
"11/29/17",10,327.8
"11/30/17",11,321.3
"12/01/17",12,312.9
"12/04/17",13,314.25
"12/05/17",14,320.4
"12/06/17",15,312.2
"12/07/17",16,316.25
"12/08/17",17,313.2
"12/11/17",18,318.05
"12/12/17",19,318
"12/13/17",20,313.35
"12/14/17",21,313.85
"12/15/17",22,312.35
"12/18/17",23,318.7
"12/19/17",24,320
"12/20/17",25,317.35
"12/21/17",26,316.3
"12/22/17",27,319.1
"12/26/17",28,317
"12/27/17",29,313.45
"12/28/17",30,308.3
"12/29/17",31,310
01/01/18,32,306.75
01/02/18,33,303
01/03/18,34,302.8
01/04/18,35,309.25
01/05/18,36,307.25
01/08/18,37,306.05
01/09/18,38,303.9
01/10/18,39,301.05
01/11/18,40,302.15
01/12/18,41,302.5
01/15/18,42,302.4
01/16/18,43,297.2
01/17/18,44,308.1
01/18/18,45,304.8
01/19/18,46,308.8
01/22/18,47,306.3
01/23/18,48,318.55
01/24/18,49,330.45
01/25/18,50,311.9
01/29/18,51,313
01/30/18,52,313.5
01/31/18,53,314.5
02/01/18,54,305.4
02/02/18,55,295.8
02/05/18,56,299
02/06/18,57,294.6
02/07/18,58,292.1
02/08/18,59,302.25
02/09/18,60,295.4
02/12/18,61,290.1
02/14/18,62,275.5
02/15/18,63,279.1
